date,volume,is_holiday
2019-01-01,5.0,True
2019-01-02,558.0,False
2019-01-03,455.0,False
2019-01-04,418.0,False
2019-01-05,198.0,False
2019-01-06,0.0,False
2019-01-07,480.0,False
2019-01-08,426.0,False
2019-01-09,413.0,False
2019-01-10,407.0,False
2019-01-11,352.0,False
2019-01-12,167.0,False
2019-01-13,0.0,False
2019-01-14,429.0,False
2019-01-15,420.0,False
2019-01-16,327.0,False
2019-01-17,376.0,False
2019-01-18,361.0,False
2019-01-19,152.0,False
2019-01-20,0.0,False
2019-01-21,478.0,False
2019-01-22,421.0,False
2019-01-23,419.0,False
2019-01-24,404.0,False
2019-01-25,395.0,False
2019-01-26,179.0,False
2019-01-27,0.0,False
2019-01-28,615.0,False
2019-01-29,565.0,False
2019-01-30,434.0,False
2019-01-31,441.0,False
2019-02-01,482.0,False
2019-02-02,125.0,False
2019-02-03,0.0,False
2019-02-04,0.0,True
2019-02-05,0.0,True
2019-02-06,0.0,True
2019-02-07,1.0,True
2019-02-08,0.0,True
2019-02-09,0.0,True
2019-02-10,0.0,False
2019-02-11,382.0,False
2019-02-12,450.0,False
2019-02-13,389.0,False
2019-02-14,390.0,False
2019-02-15,389.0,False
2019-02-16,117.0,False
2019-02-17,0.0,False
2019-02-18,388.0,False
2019-02-19,371.0,False
2019-02-20,384.0,False
2019-02-21,382.0,False
2019-02-22,397.0,False
2019-02-23,155.0,False
2019-02-24,0.0,False
2019-02-25,512.0,False
2019-02-26,444.0,False
2019-02-27,340.0,False
2019-02-28,364.0,False
2019-03-01,442.0,False
2019-03-02,135.0,False
2019-03-03,0.0,False
2019-03-04,506.0,False
2019-03-05,423.0,False
2019-03-06,336.0,False
2019-03-07,357.0,False
2019-03-08,399.0,False
2019-03-09,119.0,False
2019-03-10,0.0,False
2019-03-11,522.0,False
2019-03-12,410.0,False
2019-03-13,367.0,False
2019-03-14,396.0,False
2019-03-15,393.0,False
2019-03-16,161.0,False
2019-03-17,0.0,False
2019-03-18,504.0,False
2019-03-19,403.0,False
2019-03-20,366.0,False
2019-03-21,351.0,False
2019-03-22,372.0,False
2019-03-23,159.0,False
2019-03-24,1.0,False
2019-03-25,479.0,False
2019-03-26,6.0,False
2019-03-27,2.0,False
2019-03-28,1.0,False
2019-03-29,130.0,False
2019-03-30,103.0,False
2019-03-31,0.0,False
2019-04-01,302.0,False
2019-04-02,236.0,False
2019-04-03,226.0,False
2019-04-04,242.0,False
2019-04-05,354.0,False
2019-04-06,149.0,False
2019-04-07,0.0,False
2019-04-08,452.0,False
2019-04-09,400.0,False
2019-04-10,389.0,False
2019-04-11,393.0,False
2019-04-12,434.0,False
2019-04-13,119.0,False
2019-04-14,0.0,True
2019-04-15,0.0,True
2019-04-16,577.0,False
2019-04-17,445.0,False
2019-04-18,404.0,False
2019-04-19,412.0,False
2019-04-20,138.0,False
2019-04-21,0.0,False
2019-04-22,468.0,False
2019-04-23,391.0,False
2019-04-24,327.0,False
2019-04-25,366.0,False
2019-04-26,460.0,False
2019-04-27,141.0,False
2019-04-28,0.0,False
2019-04-29,0.0,False
2019-04-30,0.0,True
2019-05-01,0.0,True
2019-05-02,566.0,False
2019-05-03,476.0,False
2019-05-04,211.0,False
2019-05-05,7.0,False
2019-05-06,438.0,False
2019-05-07,385.0,False
2019-05-08,352.0,False
2019-05-09,310.0,False
2019-05-10,309.0,False
2019-05-11,135.0,False
2019-05-12,0.0,False
2019-05-13,495.0,False
2019-05-14,365.0,False
2019-05-15,394.0,False
2019-05-16,380.0,False
2019-05-17,330.0,False
2019-05-18,108.0,False
2019-05-19,0.0,False
2019-05-20,448.0,False
2019-05-21,341.0,False
2019-05-22,359.0,False
2019-05-23,373.0,False
2019-05-24,405.0,False
2019-05-25,122.0,False
2019-05-26,0.0,False
2019-05-27,464.0,False
2019-05-28,393.0,False
2019-05-29,320.0,False
2019-05-30,369.0,False
2019-05-31,368.0,False
2019-06-01,126.0,False
2019-06-02,0.0,False
2019-06-03,453.0,False
2019-06-04,420.0,False
2019-06-05,352.0,False
2019-06-06,403.0,False
2019-06-07,338.0,False
2019-06-08,144.0,False
2019-06-09,0.0,False
2019-06-10,542.0,False
2019-06-11,485.0,False
2019-06-12,387.0,False
2019-06-13,386.0,False
2019-06-14,370.0,False
2019-06-15,104.0,False
2019-06-16,1.0,False
2019-06-17,522.0,False
2019-06-18,407.0,False
2019-06-19,389.0,False
2019-06-20,383.0,False
2019-06-21,399.0,False
2019-06-22,119.0,False
2019-06-23,0.0,False
2019-06-24,503.0,False
2019-06-25,458.0,False
2019-06-26,401.0,False
2019-06-27,430.0,False
2019-06-28,397.0,False
2019-06-29,128.0,False
2019-06-30,0.0,False
2019-07-01,504.0,False
2019-07-02,496.0,False
2019-07-03,369.0,False
2019-07-04,445.0,False
2019-07-05,372.0,False
2019-07-06,126.0,False
2019-07-07,0.0,False
2019-07-08,521.0,False
2019-07-09,470.0,False
2019-07-10,403.0,False
2019-07-11,428.0,False
2019-07-12,416.0,False
2019-07-13,122.0,False
2019-07-14,0.0,False
2019-07-15,423.0,False
2019-07-16,452.0,False
2019-07-17,393.0,False
2019-07-18,398.0,False
2019-07-19,377.0,False
2019-07-20,118.0,False
2019-07-21,0.0,False
2019-07-22,546.0,False
2019-07-23,461.0,False
2019-07-24,422.0,False
2019-07-25,466.0,False
2019-07-26,422.0,False
2019-07-27,119.0,False
2019-07-28,0.0,False
2019-07-29,468.0,False
2019-07-30,427.0,False
2019-07-31,399.0,False
2019-08-01,370.0,False
2019-08-02,423.0,False
2019-08-03,134.0,False
2019-08-04,0.0,False
2019-08-05,572.0,False
2019-08-06,440.0,False
2019-08-07,441.0,False
2019-08-08,425.0,False
2019-08-09,507.0,False
2019-08-10,133.0,False
2019-08-11,0.0,False
2019-08-12,496.0,False
2019-08-13,429.0,False
2019-08-14,2.0,False
2019-08-15,2.0,False
2019-08-16,3.0,False
2019-08-17,2.0,False
2019-08-19,7.0,False
2019-08-20,4.0,False
2019-08-21,4.0,False
2019-08-22,3.0,False
2019-08-23,2.0,False
2019-08-24,0.0,False
2019-08-25,0.0,False
2019-08-26,1.0,False
2019-08-27,3.0,False
2019-08-28,8.0,False
2019-08-29,2.0,False
2019-08-30,395.0,False
2019-08-31,194.0,False
2019-09-01,4.0,False
2019-09-02,0.0,True
2019-09-03,549.0,False
2019-09-04,508.0,False
2019-09-05,446.0,False
2019-09-06,471.0,False
2019-09-07,178.0,False
2019-09-08,0.0,False
2019-09-09,565.0,False
2019-09-10,512.0,False
2019-09-11,405.0,False
2019-09-12,411.0,False
2019-09-13,439.0,False
2019-09-14,191.0,False
2019-09-15,1.0,False
2019-09-16,516.0,False
2019-09-17,442.0,False
2019-09-18,409.0,False
2019-09-19,512.0,False
2019-09-20,518.0,False
2019-09-21,200.0,False
2019-09-22,0.0,False
2019-09-23,574.0,False
2019-09-24,383.0,False
2019-09-25,451.0,False
2019-09-26,439.0,False
2019-09-27,439.0,False
2019-09-28,149.0,False
2019-09-29,0.0,False
2019-09-30,529.0,False
2019-10-01,435.0,False
2019-10-02,422.0,False
2019-10-03,445.0,False
2019-10-04,490.0,False
2019-10-05,148.0,False
2019-10-06,0.0,False
2019-10-07,521.0,False
2019-10-08,417.0,False
2019-10-09,403.0,False
2019-10-10,403.0,False
2019-10-11,454.0,False
2019-10-12,158.0,False
2019-10-13,0.0,False
2019-10-14,501.0,False
2019-10-15,474.0,False
2019-10-16,410.0,False
2019-10-17,397.0,False
2019-10-18,429.0,False
2019-10-19,157.0,False
2019-10-20,0.0,False
2019-10-21,471.0,False
2019-10-22,488.0,False
2019-10-23,420.0,False
2019-10-24,364.0,False
2019-10-25,413.0,False
2019-10-26,154.0,False
2019-10-27,0.0,False
2019-10-28,473.0,False
2019-10-29,364.0,False
2019-10-30,359.0,False
2019-10-31,355.0,False
2019-11-01,399.0,False
2019-11-02,141.0,False
2019-11-03,0.0,False
2019-11-04,509.0,False
2019-11-05,390.0,False
2019-11-06,384.0,False
2019-11-07,405.0,False
2019-11-08,378.0,False
2019-11-09,164.0,False
2019-11-10,0.0,False
2019-11-11,350.0,False
2019-11-12,514.0,False
2019-11-13,354.0,False
2019-11-14,380.0,False
2019-11-15,435.0,False
2019-11-16,139.0,False
2019-11-17,0.0,False
2019-11-18,446.0,False
2019-11-19,387.0,False
2019-11-20,366.0,False
2019-11-21,359.0,False
2019-11-22,405.0,False
2019-11-23,153.0,False
2019-11-24,0.0,False
2019-11-25,482.0,False
2019-11-26,386.0,False
2019-11-27,369.0,False
2019-11-28,342.0,False
2019-11-29,378.0,False
2019-11-30,150.0,False
2019-12-01,1.0,False
2019-12-02,441.0,False
2019-12-03,391.0,False
2019-12-04,334.0,False
2019-12-05,402.0,False
2019-12-06,389.0,False
2019-12-07,132.0,False
2019-12-08,0.0,False
2019-12-09,442.0,False
2019-12-10,343.0,False
2019-12-11,367.0,False
2019-12-12,403.0,False
2019-12-13,416.0,False
2019-12-14,136.0,False
2019-12-15,0.0,False
2019-12-16,433.0,False
2019-12-17,370.0,False
2019-12-18,338.0,False
2019-12-19,350.0,False
2019-12-20,331.0,False
2019-12-21,128.0,False
2019-12-22,0.0,False
2019-12-23,381.0,False
2019-12-24,353.0,False
2019-12-25,296.0,False
2019-12-26,342.0,False
2019-12-27,338.0,False
2019-12-28,103.0,False
2019-12-29,0.0,False
2019-12-30,391.0,False
2019-12-31,305.0,False
